Service_ID,Customer_ID,Customer_Type,Service_Type,Waste_Type,Service_Date,Location,Service_Cost,Collection_Time_Minutes,Request_Count,Customer_Name,Email,Phone_Number
SVC0001,CUST0001,Government,Recycling,Metal,2024-01-01,Boston,315.63,127,3,John Brown,david.jones@example.com,533-140-6699
SVC0002,CUST0002,Residential,Recycling,Metal,2024-01-02,New York,171.51,156,1,Sarah Miller,emily.garcia@example.com,345-596-9258
SVC0003,CUST0003,Enterprise,Industrial Waste,Metal,2024-01-03,Chicago,94.76,65,3,emily garcia,emily.garcia@example.com,NULL
SVC0004,CUST0004,Residential,Commercial Pickup,Mixed Waste,2024-01-04,Chicago,679.26,86,1,Sarah Davis,NULL,798-727-3139
SVC0005,CUST0005,Enterprise,Residential Pickup,Plastic,2024-01-05,Denver,800.74,40,2,sarah brown,sarah.brown@example.com,750-793-3779
SVC0006,CUST0006,Government,Commercial Pickup,Organic,2024-01-06,Denver,387.38,19,3,Sarah Brown,john.smith@example.com,481-320-8455
SVC0007,CUST0007,Residential,Residential Pickup,Plastic,2024-01-07,Seattle,576.43,48,4,John Miller,john.smith@example.com,311-977-9271
SVC0008,CUST0008,Enterprise,Industrial Waste,Paper,2024-01-08,Chicago,742.16,140,4,Michael Davis,michael.williams@example.com,NULL
SVC0009,CUST0009,Small Business,Industrial Waste,Plastic,2024-01-09,Chicago,453.06,91,1,Emily Martinez,michael.williams@example.com,518-926-8844
SVC0010,CUST0010,Residential,Residential Pickup,Glass,2024-01-10,Houston,56.31,127,5,Jane Brown,sarah.brown@example.com,NULL
SVC0011,CUST0011,Residential,Industrial Waste,Paper,2024-01-11,Miami,877.72,78,3,Robert Martinez,emily.garcia@example.com,398-322-9809
SVC0012,CUST0012,Government,Commercial Pickup,Glass,2024-01-12,New York,195.42,19,3,Jane Smith,michael.williams@example.com,556-377-9286
SVC0013,CUST0013,Residential,Industrial Waste,Organic,2024-01-13,Seattle,970.20,132,4,John Miller,james.rodriguez@example.com,NULL
SVC0014,CUST0014,Government,Recycling,Mixed Waste,2024-01-14,Miami,390.36,124,4,Michael Smith,linda.davis@example.com,499-263-5579
SVC0015,CUST0015,Small Business,Recycling,Plastic,2024-01-15,Denver,713.34,170,1,Linda Rodriguez,patricia.martinez@example.com,518-553-4163
SVC0016,CUST0016,Residential,Recycling,Metal,2024-01-16,Miami,322.75,89,2,John Garcia,michael.williams@example.com,500-551-4573
SVC0017,CUST0017,Small Business,Industrial Waste,Mixed Waste,2024-01-17,Houston,637.95,169,1,Robert Williams,patricia.martinez@example.com,235-288-1171
SVC0018,CUST0018,Government,Recycling,Plastic,2024-01-18,Seattle,791.96,32,1,Linda Rodriguez,NULL,359-916-4837
SVC0019,CUST0019,Residential,Residential Pickup,Metal,2024-01-19,Seattle,797.65,16,2,James Martinez,john.smith@example.com,685-812-1746
SVC0020,CUST0020,Government,Residential Pickup,Paper,2024-01-20,Los Angeles,252.98,44,3,Robert Brown,john.smith@example.com,573-826-1930
SVC0021,CUST0021,Enterprise,Industrial Waste,Glass,2024-01-21,Chicago,889.11,57,1,James Brown,david.jones@example.com,699-909-8715
SVC0022,CUST0022,Government,Bulk Waste,Mixed Waste,2024-01-22,New York,915.54,103,1,John Rodriguez,linda.davis@example.com,NULL
SVC0023,CUST0023,Small Business,Bulk Waste,Metal,2024-01-23,Denver,454.45,112,4,Patricia Jones,emily.garcia@example.com,880-370-9693
SVC0024,CUST0024,Government,Recycling,Metal,2024-01-24,Denver,454.36,58,3,Emily Rodriguez,david.jones@example.com,345-596-9258
SVC0025,CUST0025,Government,Bulk Waste,Mixed Waste,2024-01-25,Boston,733.03,150,4,Emily Johnson,robert.miller@example.com,845-966-2917
SVC0026,CUST0026,Residential,Bulk Waste,Plastic,2024-01-26,New York,415.55,138,4,emily garcia,emily.garcia@example.com,852-882-1288
SVC0027,CUST0027,Small Business,Industrial Waste,Plastic,2024-01-27,Chicago,795.08,142,3,john smith,john.smith@example.com,544-213-1100
SVC0028,CUST0028,Enterprise,Bulk Waste,Plastic,2024-01-28,Los Angeles,596.97,142,2,John Williams,emily.garcia@example.com,584-968-3360
SVC0029,CUST0029,Enterprise,Residential Pickup,Glass,2024-01-29,Los Angeles,770.40,59,5,Sarah Miller,linda.davis@example.com,734-900-8194
SVC0030,CUST0030,Residential,Commercial Pickup,Mixed Waste,2024-01-30,Los Angeles,387.22,137,5,Emily Davis,david.jones@example.com,986-517-7678
SVC0031,CUST0031,Residential,Commercial Pickup,Plastic,2024-01-31,Chicago,175.72,47,2,John Johnson,michael.williams@example.com,240-708-6594
SVC0032,CUST0032,Enterprise,Bulk Waste,Glass,2024-02-01,Boston,67.00,102,4,Michael Johnson,james.rodriguez@example.com,NULL
SVC0033,CUST0033,Enterprise,Commercial Pickup,Mixed Waste,2024-02-02,Chicago,469.93,130,2,John Davis,robert.miller@example.com,NULL
SVC0034,CUST0034,Residential,Recycling,Paper,2024-02-03,Chicago,914.42,148,3,Linda Williams,jane.johnson@example.com,311-977-9271
